"darkorange2","brown4","lightgreen","ivory","bisque4","paleturquoise","green","red","darkred","steelblue"
"WASH7P","UNKNOWN_ENSG00000228463","MTND1P23","UNKNOWN_ENSG00000228327","C1orf159","CCNL2","CDK11B","SLC35E2B","SKI","RPL22"
"UNKNOWN_ENSG00000268903","LINC01128","MTND2P28","AGRN","B3GALT6","UNKNOWN_ENSG00000224870","RNU6-37P","PHF13","KLHL21","RPL11"
"UNKNOWN_ENSG00000279457","NOC2L","MTCO1P12","UNKNOWN_ENSG00000227775","UNKNOWN_ENSG00000230415","ANKRD65","UNKNOWN_ENSG00000237938","DNAJC11","PIK3CD","RPS8"
"UNKNOWN_ENSG00000237491","UNKNOWN_ENSG00000217801","MTCO2P12","NADK","SCNN1D","TMEM88B","UNKNOWN_ENSG00000226029","ERRFI1","TARDBP","HHLA3"
"KLHL17","SDF4","MTATP6P1","RER1","MXRA8","VWA1","UNKNOWN_ENSG00000280222","PGD","PLOD1","RPL5"
"HES4","MRPL20","MTCO3P12","PEX10","ATAD3B","MEGF6","PINK1-AS","MASP2","ARHGEF10L","LINC00623"
"ISG15","SSU72","UNKNOWN_ENSG00000272512","LINC00982","ATAD3A","MIR34AHG","SRRM1","MTOR","HP1BP3","LINC00869"
"UBE2J2","UNKNOWN_ENSG00000268575","PRDM16","TP73-AS1","FNDC10","RBP7","UNKNOWN_ENSG00000235790","MFN2","ZBTB40","SCNM1"
"ACAP3","SLC35E2A","ARHGEF16","VAMP3","UNKNOWN_ENSG00000272106","HMGCL","ZBTB8A","VPS13D","ELOA","RPS27"
"PUSL1","GNB1","CEP104","PER3","MORN1","RCAN3","UNKNOWN_ENSG00000279179","SDHB","PNRC2","PMVK"
"INTS11","CFAP74","ENO1","GPR157","HES5","AGO4","KIAA0319L","RCC2","SRSF10","SSR2"
"UNKNOWN_ENSG00000240731","UNKNOWN_ENSG00000233542","SLC2A5","H6PD","TTC34","COL9A2","RHBDL2","MUL1","EYA3","GAS5"
