"","pink","greenyellow","turquoise","plum2","brown","blue","violet","yellow","magenta","lightcyan1","darkgreen","saddlebrown","salmon","cyan","paleturquoise","sienna3","skyblue3","green","red","black","darkred","floralwhite","darkslateblue","darkorange","purple","mediumpurple3","steelblue","darkolivegreen","darkturquoise","yellowgreen","tan","lightgreen","darkgrey","orange","grey60","lightcyan","white","ivory","darkmagenta","brown4","lightyellow","darkorange2","skyblue","bisque4","midnightblue","royalblue","orangered4","plum1","lightsteelblue1","thistle2"
"1","WASH7P","UNKNOWN_ENSG00000268903","UNKNOWN_ENSG00000228463","MTND1P23","UNKNOWN_ENSG00000228327","NOC2L","KLHL17","UNKNOWN_ENSG00000272512","AGRN","C1orf159","SDF4","UNKNOWN_ENSG00000230415","ACAP3","MXRA8","CCNL2","UNKNOWN_ENSG00000224870","ATAD3B","CDK11B","SLC35E2B","NADK","SKI","MORN1","UNKNOWN_ENSG00000269896","PEX10","TP73-AS1","CEP104","RPL22","DNAJC11","ERRFI1","RERE","ENO1","SLC2A5","H6PD","LZIC","DFFA","CASZ1","TARDBP","EXOSC10","FBXO2","DDI2","SRARP","MRTO4","PINK1-AS","CDC42","KDM1A","NIPAL3","SYF2","PHACTR4","RBBP4","MIA3"
"2","UNKNOWN_ENSG00000279457","HES4","LINC01128","MTND2P28","RER1","UNKNOWN_ENSG00000217801","ATAD3C","PRDM16","UNKNOWN_ENSG00000227775","B3GALT6","CHD5","USP48","PUSL1","TTC34","ANKRD65","TMEM88B","UNKNOWN_ENSG00000272106","RNU6-37P","PHF13","NBPF1","KLHL21","CAPZB","PLCH2","PER3","VAMP3","SPSB1","RPL11","STX12","MTOR","SESN2","PDPN","C1QA","ALDH4A1","ZMPSTE24","SNHG3","MAD2L2","HP1BP3","HMGN2","ZBTB17","PUM1","EPHA2","NDUFS5","SRRM1","FUCA1","RLF","CEP85","AGO3","TXLNA","SCP2","CEP170"
"3","UNKNOWN_ENSG00000237491","ISG15","MRPL20","MTCO1P12","LINC00982","SSU72","ESPN","ARHGEF16","KIF1B","SCNN1D","PEX14","THRAP3","INTS11","DHDDS","MEGF6","VWA1","ZBTB48","UNKNOWN_ENSG00000237938","PGD","TAF12","PIK3CD","GALE","GPR153","AKR7A2","GPR157","LDLRAP1","RPS8","KHDRBS1","RCC2","BSDC1","TMEM51","C1QC","TMCO4","GPBP1L1","TRNAU1AP","AGTRAP","ZBTB40","ZMYND12","CROCC","KPNA6","ARHGEF19","DMAP1","KIAA0319L","GNL2","RNF11","TRIM62","PRPF38B","FHL3","PDE4B","HNRNPLL"
"4","UBE2J2","AURKAIP1","SLC35E2A","MTCO2P12","SLC25A33","UNKNOWN_ENSG00000268575","RAD54L","NMNAT1","UBR4","ATAD3A","FBXO44","UNKNOWN_ENSG00000259943","TMEM240","MECR","HMGCL","MIR34AHG","PAQR7","UNKNOWN_ENSG00000226029","MASP2","SRSF4","PLOD1","UNKNOWN_ENSG00000236155","TNFRSF25","ZNF684","ALPL","PTP4A2","HHLA3","PPT1","PINK1","HIVEP3","ASAP3","C1QB","PLA2G5","SERBP1","FAM229A","TNFRSF1B","PNRC2","FGGY","EVA1B","SSBP3","SZRD1","LAMTOR5","SLC2A1-AS1","PPIH","BTF3L4","ATG4C","SRGAP2C","MUTYH","ACADM","EHBP1"
"5","UNKNOWN_ENSG00000240731","TNFRSF14","GNB1","MTATP6P1","MST1P2","CFAP74","FAAHP1","UBIAD1","NBPF3","FNDC10","EFHD2","PPCS","UNKNOWN_ENSG00000182873","UNKNOWN_ENSG00000241014","AGO4","RBP7","FAM76A","UNKNOWN_ENSG00000280222","MFN2","ZSCAN20","ARHGEF10L","UBXN11","WDTC1","OSBPL9","HSPG2","MTF1","RPL5","EPS15","EPB41","SSBP3-AS1","IFNLR1","RPS6KA1","SDC3","FNBP1L","CCDC30","FBLIM1","SRSF10","ALG6","UNKNOWN_ENSG00000269973","NEGR1","NECAP2","MRPS21","UNKNOWN_ENSG00000230896","LRRC40","DNAJC6","TTLL7","MEX3A","HS1BP3","CLCC1","ACTR3"
"6","CPTP","SRM","PRKCZ","MTCO3P12","AKR7A3","UNKNOWN_ENSG00000233542","UNKNOWN_ENSG00000273487","DRAXIN","HNRNPR","HES5","CASP9","SZT2","TMEM201","TFAP2E","UNKNOWN_ENSG00000230615","RCAN3","ALG14","UNKNOWN_ENSG00000235790","VPS13D","AGO1","ELOA","PSMB2","PTPRU","UNKNOWN_ENSG00000226476","LINC01355","SLC6A9","LINC00623","ATP5PB","CMPK1","CYB561D1","AK2","THEMIS2","DNALI1","SNX7","UNKNOWN_ENSG00000226499","MAP3K6","EYA3","CTH","UNKNOWN_ENSG00000234072","CCDC181","CDA","PSMD4","ECHDC2","GLMN","DIPK1A","CLCA4","RRNAD1","TP53I3","NBPF15","MBD5"
"7","DVL1","PQLC2","PANK4","ZNF326","PIGV","GABRD","NUP210L","DHRS3","ZNF436","TMEM222","ATP13A2","MYSM1","MTHFR","PPIE","ARMH1","COL9A2","THBS3","ZBTB8A","SDHB","TUT4","RCC1","UROD","KIAA1522","INTS3","CLIC4","ZNHIT6","LINC00869","ILF2","PARS2","AMPD2","MYCBP","PTAFR","IPP","COL11A1","NSUN4","WASF2","AKIRIN1","ADAMTSL4","UNKNOWN_ENSG00000261829","ABL2","ECE1","LAMTOR2","ACOT11","SCYL3","WDR47","LRRC8D","PIGM","RNPEPL1","PIAS3","BMPR2"
"8","UNKNOWN_ENSG00000272455","ZNF436-AS1","TPRG1L","ASB3","MARCKSL1","UNKNOWN_ENSG00000272420","PYGO2","PLEKHM2","RSRP1","SLC27A3","IGSF21","TM2D1","KIAA2013","BEST4","CA14","TMEM125","PMF1","UNKNOWN_ENSG00000279179","MUL1","TCEANC2","STK40","POMGNT1","GLIS1","PFKFB2","MTMR9LP","ANXA9","SCNM1","SYT11","JAK1","KCNC4","LRRC42","LAPTM5","GPX7","SLC25A24","BTBD8","PHC2","CAP1","SETDB1","ATG4B","RYR2","ID3","MRPL24","MROH7","RSAD2","SARS","LRIG2","UNKNOWN_ENSG00000223396","GPR35","ARNT","TOPBP1"
"9","MIB2","MTFR1L","LRRC47","NIFK-AS1","SYNC","PRXL2B","MIR29B2CHG","UNKNOWN_ENSG00000179743","TMEM50A","JMJD4","KIF17","ANKRD13C","CROCCP3","AKR1A1","APH1A","ELOVL1","UNKNOWN_ENSG00000272702","RHBDL2","DDOST","USP24","LSM10","FAAH","FAM189B","MARC2","UNKNOWN_ENSG00000225313","C1orf56","RPS27","ASTN1","DR1","B4GALT3","CACHD1","CSF3R","CTBS","RBM15","RPAP2","PLK3","DNAJB4","CYB5R1","TMEM115","MYT1L","RUNX3","PFDN2","TRIM33","GMCL1","PSMA5","CERS2","CDC42BPA","DTYMK","SUCO","RCHY1"
"10","CALML6","TMEM39B","NPHP4","METTL8","S100PBP","WRAP73","TRIM11","SPEN","PPP1R8","MOGS","RAP1GAP","KYAT3","CROCCP2","C1orf123","UNKNOWN_ENSG00000231064","IPO13","OBSL1","RPS15AP10","RPA2","OMA1","RRAGC","LRRC39","HIST3H2A","SRP9","HEYL","HAPLN2","PMVK","NTPCR","WDR3","NR1I3","GADD45A","TAL1","LPAR3","HIPK1","LRIF1","JUN","TMED5","LYPLAL1","TPRA1","AAK1","FAM110D","UNKNOWN_ENSG00000260025","UNKNOWN_ENSG00000276103","MRPL30","WDR77","MINDY1","SMC6","MGLL","DARS2","HERC3"
