"","pink","blue","lightcyan","turquoise","plum2","brown","yellow","floralwhite","green","red","darkgrey","darkred","white","orange","paleturquoise","bisque4","orangered4","grey60","darkturquoise","greenyellow","purple","black","plum1","magenta","royalblue","darkgreen","salmon","violet","lightgreen","darkmagenta","skyblue","lightcyan1","tan","lightyellow","midnightblue","lightsteelblue1","yellowgreen","steelblue","mediumpurple3","saddlebrown","ivory","cyan","skyblue3","sienna3","darkorange2","darkolivegreen","darkorange","brown4","darkslateblue"
"1","WASH7P","UNKNOWN_ENSG00000268903","UNKNOWN_ENSG00000279457","UNKNOWN_ENSG00000228463","MTND1P23","UNKNOWN_ENSG00000228327","UNKNOWN_ENSG00000237491","KLHL17","UNKNOWN_ENSG00000272512","AGRN","UBE2J2","MXRA8","AURKAIP1","CCNL2","UNKNOWN_ENSG00000224870","MRPL20","ANKRD65","TMEM88B","ATAD3C","CDK11B","UNKNOWN_ENSG00000227775","SLC35E2A","NADK","GNB1","SKI","UNKNOWN_ENSG00000269896","ARHGEF16","CEP104","RPL22","ESPN","ZBTB48","CAMTA1","VAMP3","SLC2A5","LZIC","TARDBP","EXOSC10","FBXO6","AGTRAP","PDPN","DDI2","FBLIM1","ALPL","CDC42","LDLRAP1","CEP85","THRAP3","CPT2","ACOT11"
"2","HES4","NOC2L","ISG15","LINC01128","MTND2P28","RER1","UNKNOWN_ENSG00000238260","DVL1","VWA1","SLC35E2B","CALML6","ATAD3B","FNDC10","MEGF6","UNKNOWN_ENSG00000226476","PARK7","LINC00982","SPSB1","DFFA","SRRM1","DNAJC11","PHF13","ZBTB40","KAZN","KLHL21","DFFB","UBIAD1","ARID1A","RPL11","BSDC1","PAQR7","PUM1","HSPG2","TNFRSF1B","EPB41","HP1BP3","AGO4","MIIP","DHRS3","ZNF436","MINOS1","EPHA2","SLC2A1","FUCA1","TRMT13","ATG4C","UNKNOWN_ENSG00000259943","PIFO","RXRG"
"3","SDF4","UNKNOWN_ENSG00000217801","UNKNOWN_ENSG00000272455","UNKNOWN_ENSG00000230415","MTCO1P12","PEX10","NMNAT1","RERE","ENO1","ICMT","FAAP20","MORN1","MRTO4","MST1P2","ACADM","CAPZB","ALDH4A1","RBP7","GPN2","SYF2","KIF1B","ERRFI1","MTF1","USP48","PIK3CD","GPR153","UNKNOWN_ENSG00000179743","PTP4A2","EIF3I","RAD54L","FAM76A","SSBP3","CLIC4","C1QA","ZMPSTE24","PNRC2","ZMYND12","PHACTR4","SZRD1","ASAP3","ZCCHC17","MAP3K6","PODN","GNL2","MINDY1","STXBP3","PPCS","LINC01138","CSRP1"
"4","ACAP3","C1orf159","ATAD3A","GABRD","MTCO2P12","PRDM16","RNU6-37P","UNKNOWN_ENSG00000273487","GPR157","PGD","UNKNOWN_ENSG00000272449","HES5","GPATCH3","UNKNOWN_ENSG00000241014","CLCC1","NUDC","HMGCL","NIPAL3","SNHG3","CCDC30","MTOR","NBPF1","CDKN2C","PDIK1L","PLOD1","CROCCP2","UNKNOWN_ENSG00000270728","AGO3","RPS8","FAAHP1","KIAA0319L","PRKAA2","TMEM50A","C1QC","PDE4B","DNAJB4","SZT2","MUTYH","NECAP2","AK2","FLVCR1","WASF2","LEPR","PPIH","NEK7","SORT1","TM2D1","S100A16","UNKNOWN_ENSG00000259976"
"5","PUSL1","B3GALT6","UNKNOWN_ENSG00000272106","PRKCZ","MTATP6P1","TP73-AS1","CASZ1","TMCC2","H6PD","MASP2","CROCC","TTC34","DNAJC8","PPIE","PIAS3","PSMB2","MARCKSL1","RCAN3","TRNAU1AP","NSUN4","RCC2","LINC01355","USP21","FOXJ3","FBXO42","WDTC1","COL16A1","TCEANC2","HHLA3","SSBP3-AS1","UNKNOWN_ENSG00000230896","NEGR1","AKIRIN1","C1QB","SLC35D1","GOLPH3L","OSBPL9","S100A13","TMCO4","MACF1","WDPCP","PHC2","DPYD","AKR1A1","PNPT1","SLC22A15","KYAT3","LMOD1","ZBTB20"
"6","INTS11","SCNN1D","TNFRSF14","PANK4","MTCO3P12","PER3","UNKNOWN_ENSG00000237938","ATG4B","MAD2L2","MFN2","MTFR1L","UNKNOWN_ENSG00000236155","NDUFS5","C1orf123","NBPF11","UROD","IPP","TRIM62","UNKNOWN_ENSG00000226499","WDR78","UBR4","SRSF10","POGK","C1orf50","EYA3","PTPRU","MTMR9LP","USP1","RPL5","WNT2B","LINC01359","NOS1AP","MFSD2A","RPS6KA1","SERBP1","INTS7","ALG6","UNKNOWN_ENSG00000272579","ECE1","CACHD1","MPHOSPH10","GJA4","PALMD","LRRC40","NCKAP5","CERS2","PTBP2","RHOB","KLF15"
"7","UNKNOWN_ENSG00000240731","UNKNOWN_ENSG00000268575","SRM","TPRG1L","ASIC4","SLC25A33","SLC25A34","ING5","DRAXIN","VPS13D","ZDHHC18","DHDDS","ERI3","AMY2B","CHTOP","LAMTOR5","FGGY","COL9A2","SRGAP2-AS1","SRSF11","PINK1","TAF12","PRELP","EBNA1BP2","SESN2","KIAA1522","TEKT2","ZNHIT6","LINC00623","PYGO2","ALG14","GPATCH2","CAP1","THEMIS2","TMED5","CNIH4","CTH","TP53I3","SELENON","GADD45A","PSMD1","PLK3","KIRREL1","GLMN","ZEB2","POGZ","AGL","CAPG","ARHGEF26-AS1"
"8","CPTP","CFAP74","AKR7L","LRRC47","MTRNR2L12","CPLANE2","UNKNOWN_ENSG00000226029","LETM1","TMEM51","SDHB","MED18","MECR","MMACHC","TRIM45","SDHC","PSMB4","APH1A","TMEM125","RRNAD1","NEXN","NBPF3","SRSF4","STARD7","EIF2B3","RCC1","MAST2","C1orf122","ZNF326","LINC00869","MIR29B2CHG","RNF115","RAB3GAP2","PIK3R3","PTAFR","FNBP1L","AHCTF1","CHD1L","GALM","XKR8","GNG5","TSEN2","MOB3C","RCSD1","MSTO1","EFHD1","OLFML2B","POLR3C","PLCD1","TMEM129"
"9","TMEM240","UNKNOWN_ENSG00000233542","PQLC2","AJAP1","SCARNA7","PADI2","UNKNOWN_ENSG00000280222","ADRA2C","PLEKHM2","MUL1","TMEM39B","BEST4","BOLA1","GON4L","SUCO","LAMTOR2","PAQR6","ELOVL1","UNKNOWN_ENSG00000234072","RPAP2","HNRNPR","ZBTB8B","WDR33","RNF11","STK40","GLIS1","SLC6A9","ANXA9","SCNM1","VASH2","PMF1","ROCK2","STIL","LAPTM5","SNX7","WDCP","SETDB1","DTYMK","MOV10","SH3GLB1","DHX36","JUN","CFH","MAEL","SH3BP4","PIK3C2B","VPS45","DLEC1","UNKNOWN_ENSG00000279118"
"10","SSU72","UNKNOWN_ENSG00000272420","ZNF436-AS1","NPHP4","MTND6P4","AKR7A3","PINK1-AS","DOK3","SPEN","DDOST","P3H1","FAAH","MRPS21","UNKNOWN_ENSG00000242193","CD46","MRPL24","C1orf61","IPO13","OXER1","MTF2","STX12","ZSCAN20","BRPF1","KTI12","RRAGC","CYB561D1","UNKNOWN_ENSG00000230615","C1orf56","S100A6","EIF2AK2","RNASEH1","AAK1","LRRC42","CSF3R","SLC25A24","XPO1","CYB5R1","UNKNOWN_ENSG00000269982","OTUD7B","GBP1","MAP3K13","ADGRL4","CD34","UNKNOWN_ENSG00000185495","MITF","HSD11B1","SCYL3","MYL3","DLL1"
"11","MIB2","PLCH2","LYPLA2","ACOT7","MTND5P11","AKR7A2","RHD","FBXL18","SRARP","KDM1A","B4GALT2","PATJ","PSMD4","IGFN1","MARC2","MRPL55","ODR4","IFI44L","MRPL53","CCDC18","RBBP4","AGO1","RAF1","BTF3L4","HIVEP3","KCNC4","ECHDC2","UNKNOWN_ENSG00000260766","SLC27A3","FASTKD1","UNKNOWN_ENSG00000212978","CHMP3","FPGT","TAL1","HIPK1","RMND5A","EIF2D","MGLL","TEX261","F3","PIGX","RPF1","UNKNOWN_ENSG00000227671","PSEN2","GAB1","TMEM206","RCOR3","SSR3","ZFHX4"
"12","UNKNOWN_ENSG00000182873","PRXL2B","TMEM222","PLEKHG5","MTND4P12","HMGN2","SYTL1","CLIP2","HSPB7","RSRP1","PLEKHO1","UNKNOWN_ENSG00000271576","DAP3","NVL","WDR35","TMSB10","SHISA4","TTLL7","CCDC142","SLC35A3","RNF19B","BMP8B","SEC22C","ZFYVE9","TYW3","INKA2","FAM151A","PIGM","RPS27","ANKAR","C2orf92","GCC2","ST6GALNAC3","CD53","UNKNOWN_ENSG00000275131","RANBP2","LYPLAL1","FAM193A","TCF7L1","SLC44A3","SRP72","GBP2","ACVR1","CHML","ARHGEF37","PROX1","TTC13","SOD3","TRPS1"
"13","C1orf174","WRAP73","CCDC24","SLC45A1","PRR26","PIGV","UNKNOWN_ENSG00000270605","MEPCE","ARHGEF19","RPA2","C1orf35","OVGP1","NAXE","PYCR2","EML4","UBE2F","GPR37L1","CLCA4","AUP1","SLC30A7","ZMYM4","ZFP69","ZNF35","COA7","NUP210L","DENND4B","ROR1","TROVE2","DPM3","KIF9-AS1","PDE11A","MAGI1","IFI44","C1orf162","SNX27","WDSUB1","TTC32","C4orf36","ATOH8","CNN3","SCLT1","SLC44A3-AS1","COBLL1","TMEM17","DAAM2","PLD5","MTR","HMGB2","CNTFR"
