"cyan","grey60","lightgreen","darkorange2","darkgreen","black","brown4","floralwhite","plum1","darkturquoise","darkolivegreen"
"WASH7P","UNKNOWN_ENSG00000268903","UNKNOWN_ENSG00000228463","MTND1P23","UNKNOWN_ENSG00000228327","AGRN","TMEM88B","SLC35E2A","PEX10","RPL22","KLHL21"
"UNKNOWN_ENSG00000279457","UNKNOWN_ENSG00000272512","LINC01128","MTND2P28","UNKNOWN_ENSG00000230415","SLC35E2B","SPSB1","NADK","LINC00982","RPL11","TARDBP"
"UNKNOWN_ENSG00000237491","VWA1","NOC2L","MTCO1P12","MXRA8","UNKNOWN_ENSG00000227775","RBP7","SKI","PRDM16","C1orf122","HP1BP3"
"KLHL17","SLC2A5","B3GALT6","MTCO2P12","CCNL2","GNB1","NIPAL3","RER1","VAMP3","RPS8","ZBTB40"
"HES4","MAD2L2","PUSL1","MTATP6P1","UNKNOWN_ENSG00000224870","PHF13","RCAN3","ARHGEF16","PER3","HHLA3","PNRC2"
"ISG15","TNFRSF1B","AURKAIP1","MTCO3P12","ANKRD65","DNAJC11","LDLRAP1","TP73-AS1","ENO1","RPL5","EYA3"
"UNKNOWN_ENSG00000217801","PDPN","MRPL20","CEP104","ATAD3B","UBE4B","THEMIS2","ERRFI1","H6PD","POLR3GL","RCC1"
"C1orf159","FBLIM1","TMEM240","PTP4A2","UNKNOWN_ENSG00000272106","PGD","COL9A2","GPR157","SLC25A33","S100A6","STK40"
"SDF4","EPHA2","SSU72","ZNHIT6","HES5","MASP2","TMEM125","LZIC","EXOSC10","SLC27A3","ZZZ3"
"UBE2J2","LINC01141","UNKNOWN_ENSG00000268575","ZNF326","TTC34","MTOR","ELOVL1","KIF1B","DRAXIN","RPS27","DNAJB4"
"SCNN1D","C1QA","CFAP74","PRPF38B","MEGF6","CLCN6","IPO13","UBIAD1","AGTRAP","PMVK","RAP1A"
"ACAP3","C1QC","UNKNOWN_ENSG00000233542","NBPF26","ZBTB48","MFN2","ATG4C","PLOD1","MIIP","DPM3","PDE4DIP"
"INTS11","C1QB","GABRD","REL","AKR7A3","VPS13D","TTLL7","TMEM51","DHRS3","DUSP23","GOLPH3L"
"UNKNOWN_ENSG00000240731","ASAP3","PRKCZ","PAIP2B","FUCA1","KAZN","CLCA4","PLEKHM2","CPLANE2","GAS5","SNX27"
"CPTP","FAM110D","MORN1","KRCC1","PAQR7","SDHB","UNKNOWN_ENSG00000231999","SPEN","SZRD1","SHISA4","SMG5"
"DVL1","RPS6KA1","UNKNOWN_ENSG00000272420","MAP4K4","UNKNOWN_ENSG00000236155","RCC2","LRRC8D","SRARP","NECAP2","NENF","USP21"
"UNKNOWN_ENSG00000272455","MAP3K6","PLCH2","NIFK-AS1","DHDDS","UBR4","STXBP3","HSPB7","MST1P2","RPS7","POGK"
"ATAD3C","WASF2","PANK4","NCKAP5","FAM76A","MUL1","NHLH2","ARHGEF19","PADI2","SF3B6","CACYBP"
"ATAD3A","PTAFR","PRXL2B","ZEB2","MECR","PINK1","CA14","NBPF1","ALDH4A1","PTRHD1","SMG7"
"FNDC10","LAPTM5","TPRG1L","PRPF40A","UNKNOWN_ENSG00000241014","DDOST","CERS2","CROCCP2","UNKNOWN_ENSG00000270728","BCYRN1","YOD1"
"MIB2","PHC2","WRAP73","PKP4","TFAP2E","EIF4G3","CHTOP","ARHGEF10L","AKR7A2","RPS27A","G0S2"
"CDK11B","CSF3R","LRRC47","TRAK2","UNKNOWN_ENSG00000259943","NBPF3","HAPLN2","ALPL","TMCO4","PRADC1","INTS7"
"CALML6","YBX1","C1orf174","NBEAL1","PPIH","USP48","ADAMTS4","HSPG2","PLA2G5","TPRKB","CNIH4"
"UNKNOWN_ENSG00000182873","PLK3","AJAP1","PTMA","BEST4","CDC42","PIK3C2B","LINC01355","CDA","POLE4","SH3YL1"
"FAAP20","MOB3C","NPHP4","MOBP","FAF1","KDM1A","CNTN2","ID3","ECE1","RPL31","RNF144A"
"UNKNOWN_ENSG00000269896","TAL1","KCNAB2","ZBTB47","PATJ","HNRNPR","CDK18","ELOA","TCEA3","UNKNOWN_ENSG00000233762","PUM2"
"UNKNOWN_ENSG00000272449","JUN","CHD5","SMARCC1","LINC01359","ZNF436","SLC45A3","SRSF10","HMGCL","EEF1B2","EIF2AK2"
"TNFRSF14","CACHD1","RNF207","MAP4","UNKNOWN_ENSG00000271576","PITHD1","HSD11B1","IFNLR1","SELENON","RPL37A","SOCS5"
"UNKNOWN_ENSG00000238260","GADD45A","ICMT","PBRM1","GLMN","RSRP1","TMEM206","CLIC4","PAFAH2","COPS9","PNPT1"
"DFFB","ADGRL4","ACOT7","MTRNR2L12","ALG14","PDIK1L","UNKNOWN_ENSG00000260805","RUNX3","HMGN2","RPL32","XPO1"
"GPR153","GNG5","PLEKHG5","BBX","AGL","STX12","PROX1","TMEM50A","PIGV","RPSA","MXD1"
"ESPN","SH3GLB1","NOL9","NUDT16","AMY2B","RPA2","DUSP10","CEP85","PPP1R8","RPL14","SPR"
"TNFRSF25","GBP2","THAP3","SMC4","OVGP1","SNRNP40","UNKNOWN_ENSG00000242861","ARID1A","XKR8","TMA7","RMND5A"
"RERE","F3","CAMTA1","B3GNT5","TRIM45","KHDRBS1","TMEM63A","FGR","SDC3","GPX1","MGAT4A"
"MIR34AHG","SLC44A3-AS1","PARK7","APOD","NBPF12","YARS","GJC2","TAF12","COL16A1","TMEM115","RANBP2"
"TMEM201","SLC44A3","SLC45A1","RBPJ","ADAM15","RNF19B","RHOU","EPB41","HDAC1","RPL29","WDR33"
"PIK3CD","CNN3","CLSTN1","YTHDC1","THBS3","SFPQ","LINC01105","SRSF4","MARCKSL1","UNKNOWN_ENSG00000242299","SPOPL"
"NMNAT1","GNAI3","CTNNBIP1","SGMS2","MSTO1","ZMYM4","RASGRP3","TINAGL1","SYNC","RPL24","PLEKHA3"
"RNU6-37P","CSF1","PEX14","ARHGAP10","GON4L","THRAP3","FOXN2","TXLNA","AK2","RNF7","KANSL1L"
"DFFA","CD53","FBXO44","NIPBL","PMF1","SNIP1","VRK2","MTMR9LP","ZMYM1","RPL4P4","IRS1"
"CASZ1","C1orf162","PRDM2","CHD1","DCAF8","GNL2","TGFA","ZBTB8B","AGO4","RPL35A","AGAP1"
"SRM","TMIGD3","FHAD1","PGGT1B","PPOX","C1orf109","DYSF","RBBP4","DNALI1","RPL9","HDAC4"
"DISP3","ADORA3","EFHD2","SHROOM1","MAEL","SF3A3","RTKN","S100PBP","INPP5B","RPL34","BRPF1"
"FBXO2","RHOC","DNAJC16","MTND6P4","F5","UTP11","SH2D6","TRIM62","MYCBP","SNHG8","NR1D2"
"FBXO6","OLFML3","AGMAT","MTND5P11","UNKNOWN_ENSG00000242193","PPIE","MAL","UNKNOWN_ENSG00000225313","MACF1","RPS3A","MANF"
"MTHFR","FCGR1A","DDI2","MTND4P12","IGFN1","CAP1","SEPT10","ZSCAN20","ZMYND12","C5orf49","APPL1"
"KIAA2013","MCL1","UQCRHL","MYOT","CYB5R1","PPT1","ERMN","GJA4","ERMAP","RPL37","KCTD6"
"CASP9","CTSS","FBXO42","FGF1","TATDN3","RLF","LRP2","AGO1","SZT2","RPS14","CGGBP1"
"UNKNOWN_ENSG00000237938","S100A11","ATP13A2","UNKNOWN_ENSG00000230551","UNKNOWN_ENSG00000185495","ZFP69B","HAGLR","AGO3","ZSWIM5","TMED9","UNKNOWN_ENSG00000241218"
"SLC25A34","S100A9","IGSF21","ARHGEF37","PYCR2","ZNF684","INPP1","MTF1","MUTYH","HEIH","TMCC1"
"UNKNOWN_ENSG00000179743","S100A8","PAX7","TRIM41","PSEN2","CTPS1","DOCK10","RRAGC","TESK2","RACK1","MSL2"
"ZBTB17","SLC39A1","EMC1","DAAM2","TSNAX","FOXJ3","BOK","AKIRIN1","CCDC163","ZSCAN16-AS1","MBNL1"
"FAM131C","RAB13","CAPZB","TFEB","TARBP1","PPCS","KCNH8","PPIEL","PRDX1","ZNRD1","SKIL"
"UNKNOWN_ENSG00000226029","IL6R","OTUD3","LRRC1","MTR","C1orf50","SEMA3B","HEYL","IPP","C6orf48","FXR1"
"CROCCP3","SHC1","UBXN10","CDK19","UNKNOWN_ENSG00000225554","EBNA1BP2","GPR62","BMP8B","EFCAB14","NELFE","SENP2"
"CROCC","EFNA1","CAMK2N1","AKAP7","NLRP3","DPH2","PXK","MFSD2A","SPATA6","RPS18","DNAJB11"
"UNKNOWN_ENSG00000280222","MUC1","FAM43B","MTURN","TMEM18","TMEM53","FRMD4B","ZMPSTE24","OSBPL9","CNPY3","FBXO45"
"IFFO2","LMNA","KIF17","MCM7","GEN1","EIF2B3","CLDND1","ZFP69","PRPF38A","FAM229B","CCDC149"
"MRTO4","IFI16","SH2D5","HIPK2","DRC1","AKR1A1","CPOX","SLC2A1","GPX7","RPS12","PDS5A"
