"","magenta","royalblue","blue","turquoise","darkorange2","midnightblue","tan","cyan","grey60","black","salmon","pink","saddlebrown","lightgreen","darkgreen","lightcyan","steelblue","yellow","red","purple","green","darkmagenta","brown","ivory","darkturquoise","darkolivegreen","lightyellow","paleturquoise","violet","darkred","sienna3","mediumpurple3","darkorange","bisque4","orange","skyblue","yellowgreen","white","orangered4","darkgrey","greenyellow","plum1","floralwhite","lightcyan1","darkslateblue","brown4","plum2","lightsteelblue1","skyblue3"
"1","WASH7P","UNKNOWN_ENSG00000268903","UNKNOWN_ENSG00000279457","UNKNOWN_ENSG00000228463","MTND1P23","UNKNOWN_ENSG00000228327","NOC2L","KLHL17","UNKNOWN_ENSG00000272512","AGRN","UNKNOWN_ENSG00000217801","B3GALT6","UBE2J2","AURKAIP1","CCNL2","TMEM88B","VWA1","SLC35E2A","GNB1","UNKNOWN_ENSG00000233542","SKI","UNKNOWN_ENSG00000269896","PEX10","CEP104","RPL22","KLHL21","DNAJC11","CAMTA1","H6PD","SLC25A33","LZIC","PGD","AGTRAP","MIIP","SPEN","SDHB","HSPG2","PITHD1","FUCA1","IFNLR1","SRRM1","XKR8","RBBP4","ZMYM4","PPIE","ATG4C","IFI44L","MTF2","GOLPH3L"
"2","HES4","FBLIM1","UNKNOWN_ENSG00000237491","LINC01128","MTND2P28","UNKNOWN_ENSG00000230415","PRXL2B","ATAD3C","SLC2A5","SLC35E2B","ACAP3","PUSL1","INTS11","MRPL20","ANKRD65","SPSB1","MAD2L2","NADK","UBE4B","GABRD","ARHGEF16","RERE","LINC00982","PTP4A2","RPL11","TARDBP","MFN2","PRDM2","ALDH4A1","MST1P2","ZMPSTE24","DDOST","DHRS3","MUTYH","GPBP1L1","CDC42","CLIC4","GNL2","PPIH","RUNX3","SYF2","ANXA9","PDE4B","TYW3","DPH2","STXBP3","IFI44","TRIM33","SNX27"
"3","ISG15","EPHA2","UNKNOWN_ENSG00000240731","CFAP74","MTCO1P12","MXRA8","TPRG1L","ESPN","TNFRSF1B","UNKNOWN_ENSG00000227775","CPTP","TMEM240","CALML6","SSU72","ATAD3B","RBP7","PDPN","RER1","CLCN6","PLCH2","TP73-AS1","PIK3CD","PRDM16","PAIP2B","C1orf122","HP1BP3","MUL1","DDI2","HMGCL","PLA2G5","SERBP1","RPA2","SZRD1","S100A13","PKN2","YARS","SLC2A1","UTP11","FAF1","FGR","WDR78","C1orf56","CLCC1","KCNT2","TMEM53","CERS2","GBP4","RNF115","CACYBP"
"4","C1orf159","PHC2","CDK11B","PRKCZ","MTCO2P12","UNKNOWN_ENSG00000224870","LRRC47","TNFRSF25","LINC01141","PHF13","DVL1","UNKNOWN_ENSG00000268575","FAAP20","THAP3","UNKNOWN_ENSG00000272106","NIPAL3","ASAP3","ERRFI1","VPS13D","KCNAB2","GPR157","IFFO2","VAMP3","MAP4K4","RPS8","ZBTB40","KDM1A","PUM1","COL16A1","HMGN2","TMED5","PPCS","NECAP2","UNKNOWN_ENSG00000272579","ZNF644","SF3A3","PODN","UQCRH","GLMN","UNKNOWN_ENSG00000225313","SRSF11","GALM","SUCO","ESRRG","AKR1A1","PIK3C2B","VANGL1","NUCKS1","SMG7"
"5","SDF4","YBX1","MIR34AHG","PANK4","MTATP6P1","DHDDS","C1orf174","DFFA","C1QA","MASP2","UNKNOWN_ENSG00000182873","MORN1","UNKNOWN_ENSG00000272449","PARK7","HES5","RCAN3","MAP3K6","KIF1B","KAZN","CHD5","UBIAD1","WDTC1","PER3","NIFK-AS1","HHLA3","PNRC2","STX12","KPNA6","IPP","ZMYND12","HIPK1","RABGGTB","CDA","PTPN18","VAV3","EBNA1BP2","LEPR","TXNDC12","MSTO1","GJA4","NEXN","TTC7A","GALNT2","MIA3","AAMP","HSD11B1","RGS5","FLVCR1","YOD1"
"6","SCNN1D","PLK3","NMNAT1","AJAP1","MTCO3P12","MECR","NOL9","SNHG3","C1QC","MTOR","DFFB","UNKNOWN_ENSG00000272420","UNKNOWN_ENSG00000238260","CTNNBIP1","TTC34","LDLRAP1","WASF2","NBPF1","EIF4G3","RNF207","PLOD1","SESN2","ENO1","NCKAP5","RPL5","EYA3","SNRNP40","ELAVL4","ECHDC2","FGGY","GDAP2","VPS45","ECE1","CNPPD1","CTTNBP2NL","EIF2B3","ST6GALNAC3","DIRAS3","MAEL","HEYL","RPAP2","PCBP1-AS1","HNRNPU","CEP170","ELP6","TMEM206","RCSD1","CCDC88A","INTS7"
"7","UNKNOWN_ENSG00000272455","MOB3C","RNU6-37P","NPHP4","ZNHIT6","UNKNOWN_ENSG00000241014","SLC45A1","UNKNOWN_ENSG00000226499","C1QB","RCC2","GPR153","WRAP73","CROCC","CAPZB","MEGF6","THEMIS2","CACHD1","CROCCP2","USP48","ATP13A2","TMEM51","KIAA1522","EXOSC10","ZEB2","POLR3GL","RCC1","KHDRBS1","PRKAA2","LINC01138","LEPROT","ETV3","GBA","SELENON","RAMP1","ANKRD45","KTI12","ARHGAP29","KYAT3","PSEN2","SLC1A7","CCDC18","TTC31","WDR35","AKT3","IMPDH2","PROX1","SLC5A6","WDPCP","CNIH4"
"8","ATAD3A","JUN","CASZ1","ICMT","ZNF326","UNKNOWN_ENSG00000259943","UQCRHL","RAD54L","FAM110D","UBR4","ZBTB17","PEX14","SYTL1","NUDC","ZBTB48","COL9A2","GNG5","SRSF10","PDIK1L","IGSF21","PLEKHM2","LSM10","DRAXIN","PKP4","S100A6","STK40","RNF19B","NEGR1","UNKNOWN_ENSG00000231551","WLS","CDC73","NIT1","ROR1","DTYMK","TPR","MRPL37","DPYD","GSTM4","UNKNOWN_ENSG00000225554","CCN1","SASS6","TMEM150A","CLIP4","EHBP1","EXOC3","FOXN2","ACVR1","GCFC2","SH3YL1"
"9","FNDC10","GADD45A","UNKNOWN_ENSG00000237938","ACOT7","PRPF38B","BEST4","FNDC5","FAAHP1","RPS6KA1","PINK1","MINOS1","FBXO44","P3H1","DNAJC8","AKR7A3","TMEM125","SH3GLB1","TMEM50A","C1orf109","CAMK2N1","SRARP","SSBP3-AS1","CPLANE2","TRAK2","SLC27A3","ZZZ3","PPT1","ERICH3","APH1A","CTH","ZC3H11A","SNRPE","UNKNOWN_ENSG00000231365","IL17RC","NEK7","TM2D1","ITGA10","PEX11B","TMEM18","GBP3","LRRC39","C2orf68","GPR75","MBD5","TXNDC15","SEPT10","IFIH1","ZC3H6","PUM2"
"10","MIB2","ADGRL4","SLC25A34","PLEKHG5","NBPF26","LINC01359","AZIN2","FAM151A","PTAFR","NBPF3","ZDHHC18","EFHD2","HYI","ATP5IF1","PAQR7","ELOVL1","F3","CEP85","RLF","FAM43B","HSPB7","UNKNOWN_ENSG00000273487","PADI2","PTMA","RPS27","DNAJB4","TMEM69","RYR2","C1orf54","LPAR3","AIDA","CPSF3","TXNIP","HIST1H1C","ZBED6","SARS","SHE","MSTO2P","BABAM2","GBP1","SLC30A7","PANTR1","RAPGEF4","EPC2","APBB3","PXK","COBLL1","DYNC1I2","SOCS5"
