"gene","modulecolor"
"WASH7P","pink"
"UNKNOWN_ENSG00000279457","pink"
"UNKNOWN_ENSG00000237491","pink"
"UBE2J2","pink"
"UNKNOWN_ENSG00000240731","pink"
"CPTP","pink"
"DVL1","pink"
"UNKNOWN_ENSG00000272455","pink"
"MIB2","pink"
"CALML6","pink"
"FAAP20","pink"
"UNKNOWN_ENSG00000272449","pink"
"UNKNOWN_ENSG00000238260","pink"
"FBXO6","pink"
"MIIP","pink"
"SLC25A34","pink"
"FAM131C","pink"
"AKR7L","pink"
"MINOS1","pink"
"NBL1","pink"
"RHD","pink"
"CNKSR1","pink"
"SH3BGRL3","pink"
"SYTL1","pink"
"UNKNOWN_ENSG00000270605","pink"
"SNHG12","pink"
"GMEB1","pink"
"UNKNOWN_ENSG00000182109","pink"
"PABPC4","pink"
"FOXO6","pink"
"P3H1","pink"
"HYI","pink"
"B4GALT2","pink"
"BTBD19","pink"
"CC2D1B","pink"
"UNKNOWN_ENSG00000271200","pink"
"RN7SL538P","pink"
"PLEKHO1","pink"
"S100A6","pink"
"CRTC2","pink"
"KRTCAP2","pink"
"CLK2","pink"
"ACKR1","pink"
"MPZ","pink"
"SERTAD4-AS1","pink"
"RPL21P28","pink"
"UNKNOWN_ENSG00000228729","pink"
"UNKNOWN_ENSG00000231563","pink"
"SLC35F6","pink"
"UCN","pink"
"EIF2B4","pink"
"SLC8A1-AS1","pink"
"UNKNOWN_ENSG00000260977","pink"
"BCYRN1","pink"
"B3GALNT1P1","pink"
"PRADC1","pink"
"PROM2","pink"
"UNKNOWN_ENSG00000229689","pink"
"C2orf15","pink"
"LYG2","pink"
"C1QL2","pink"
"BIN1","pink"
"PTPN18","pink"
"KRT8P15","pink"
"GMPPA","pink"
"DUSP28","pink"
"CAPN10","pink"
"TADA3","pink"
"UNKNOWN_ENSG00000206567","pink"
"SLC22A14","pink"
"UNKNOWN_ENSG00000272077","pink"
"RPS15P5","pink"
"ASB14","pink"
"POLQ","pink"
"UNKNOWN_ENSG00000273437","pink"
"H1FX","pink"
"ECE2","pink"
"TMEM41A","pink"
"TMEM44","pink"
"MIR570HG","pink"
"MUC4","pink"
"MELTF-AS1","pink"
"UNKNOWN_ENSG00000273308","pink"
"NELFA","pink"
"MFSD10","pink"
"GRK4","pink"
"RGS12","pink"
"RPL21P44","pink"
"UNKNOWN_ENSG00000249106","pink"
"ZDHHC11B","pink"
"ZDHHC11","pink"
"UNKNOWN_ENSG00000224282","pink"
