"gene","modulecolor"
"WASH7P","brown"
"UNKNOWN_ENSG00000268903","brown"
"UNKNOWN_ENSG00000279457","brown"
"UNKNOWN_ENSG00000272455","brown"
"ATAD3C","brown"
"CDK11B","brown"
"UNKNOWN_ENSG00000268575","brown"
"UNKNOWN_ENSG00000238260","brown"
"CEP104","brown"
"RERE","brown"
"NMNAT1","brown"
"RNU6-37P","brown"
"DFFA","brown"
"CASZ1","brown"
"FBXO6","brown"
"UNKNOWN_ENSG00000237938","brown"
"SLC25A34","brown"
"UNKNOWN_ENSG00000179743","brown"
"UNKNOWN_ENSG00000226029","brown"
"UNKNOWN_ENSG00000280222","brown"
"AKR7L","brown"
"MINOS1","brown"
"PINK1-AS","brown"
"ZNF436-AS1","brown"
"RHD","brown"
"CNKSR1","brown"
"ZDHHC18","brown"
"GPN2","brown"
"UNKNOWN_ENSG00000270605","brown"
"PHACTR4","brown"
"SNHG3","brown"
"TRNAU1AP","brown"
"SNHG12","brown"
"GMEB1","brown"
"UNKNOWN_ENSG00000235790","brown"
"FAM229A","brown"
"BSDC1","brown"
"ZBTB8A","brown"
"UNKNOWN_ENSG00000279179","brown"
"PHC2","brown"
"ZMYM6","brown"
"EVA1B","brown"
"CDCA8","brown"
"FHL3","brown"
"RHBDL2","brown"
"UNKNOWN_ENSG00000182109","brown"
"PABPC4","brown"
"SCMH1","brown"
"P3H1","brown"
"SLC2A1-AS1","brown"
"HYI","brown"
"UNKNOWN_ENSG00000230615","brown"
"UNKNOWN_ENSG00000226499","brown"
"RAD54L","brown"
"CC2D1B","brown"
"UNKNOWN_ENSG00000280378","brown"
"CYB5RL","brown"
"UNKNOWN_ENSG00000271200","brown"
"WDR78","brown"
"ZRANB2-AS2","brown"
"NSRP1P1","brown"
"UNKNOWN_ENSG00000271576","brown"
"BTBD8","brown"
"UNKNOWN_ENSG00000223745","brown"
"SLC35A3","brown"
"DBT","brown"
"UNKNOWN_ENSG00000233184","brown"
"C1orf194","brown"
"SLC16A1-AS1","brown"
"UNKNOWN_ENSG00000238198","brown"
"UNKNOWN_ENSG00000223804","brown"
"SRGAP2-AS1","brown"
"NBPF20","brown"
"RBM8A","brown"
"LINC00869","brown"
"UNKNOWN_ENSG00000276103","brown"
"GABPB2","brown"
"CRTC2","brown"
"SLC50A1","brown"
"KRTCAP2","brown"
"CLK2","brown"
"RUSC1-AS1","brown"
"ISG20L2","brown"
"RRNAD1","brown"
"UNKNOWN_ENSG00000272668","brown"
"PIGM","brown"
"DEDD","brown"
"MPZ","brown"
"UNKNOWN_ENSG00000271811","brown"
"DNM3OS","brown"
"UNKNOWN_ENSG00000203739","brown"
"CENPL","brown"
"KIAA1614","brown"
"UNKNOWN_ENSG00000223396","brown"
"PCAT6","brown"
"SNORA77","brown"
"UNKNOWN_ENSG00000240219","brown"
"PM20D1","brown"
"SERTAD4-AS1","brown"
"VASH2","brown"
"ANGEL2","brown"
"PTPN14","brown"
"NVL","brown"
"UNKNOWN_ENSG00000231563","brown"
"UNKNOWN_ENSG00000231663","brown"
"UNKNOWN_ENSG00000224348","brown"
"SDCCAG8","brown"
"FCF1P7","brown"
"FABP7P1","brown"
"EFCAB2","brown"
"UNKNOWN_ENSG00000259865","brown"
"E2F6","brown"
"LPIN1","brown"
"UBXN2A","brown"
"UNKNOWN_ENSG00000205500","brown"
"AGBL5-IT1","brown"
"UCN","brown"
"UNKNOWN_ENSG00000234072","brown"
"KRTCAP3","brown"
"SPDYA","brown"
"MEMO1","brown"
"YIPF4","brown"
"CYP1B1-AS1","brown"
"GALM","brown"
"SLC8A1-AS1","brown"
"OXER1","brown"
"HAAO","brown"
"SLC3A1","brown"
"ATP6V1E2","brown"
"UNKNOWN_ENSG00000260977","brown"
"ASB3","brown"
"RPL23AP32","brown"
"CLHC1","brown"
"PNPT1","brown"
"UNKNOWN_ENSG00000273302","brown"
"WDR92","brown"
"B3GALNT1P1","brown"
"PCBP1-AS1","brown"
"ZNF638","brown"
"TPRKB","brown"
"MRPL53","brown"
"CCDC142","brown"
"AUP1","brown"
"UNKNOWN_ENSG00000224731","brown"
"ELMOD3","brown"
"RNF103","brown"
"PLGLB1","brown"
"RPIA","brown"
"UNKNOWN_ENSG00000143429","brown"
"PROM2","brown"
"UNKNOWN_ENSG00000229689","brown"
"LINC00342","brown"
"ANKRD23","brown"
"ANKRD39","brown"
"FAM178B","brown"
"LYG2","brown"
"LYG1","brown"
"EIF5B","brown"
"RNF149","brown"
"UNKNOWN_ENSG00000272994","brown"
"TTL","brown"
"DDX11L2","brown"
"UNKNOWN_ENSG00000236255","brown"
"BIN1","brown"
"POLR2D","brown"
"TUBA3D","brown"
"UNKNOWN_ENSG00000152117","brown"
"RBMS1","brown"
"FASTKD1","brown"
"CCDC173","brown"
"METTL8","brown"
"UNKNOWN_ENSG00000223960","brown"
"ANKAR","brown"
"CASP8","brown"
"ALS2CR12","brown"
"KIAA2012","brown"
"KRT8P15","brown"
"NBEAL1","brown"
"CYP20A1","brown"
"ANKZF1","brown"
"ASIC4","brown"
"UNKNOWN_ENSG00000261829","brown"
"PTMA","brown"
"SNORC","brown"
"IQCA1","brown"
"SCLY","brown"
"UNKNOWN_ENSG00000186235","brown"
"HES6","brown"
"DUSP28","brown"
"RNPEPL1","brown"
"CAPN10-DT","brown"
"ANO7","brown"
"UNKNOWN_ENSG00000220804","brown"
"THUMPD3-AS1","brown"
"UNKNOWN_ENSG00000269982","brown"
"UNKNOWN_ENSG00000206567","brown"
"TSEN2","brown"
"MKRN2OS","brown"
"THRB-IT1","brown"
"CNOT10","brown"
"ITGA9-AS1","brown"
"CTDSPL","brown"
"SLC22A14","brown"
"EXOG","brown"
"ENTPD3-AS1","brown"
"VIPR1-AS1","brown"
"ZNF660","brown"
"UNKNOWN_ENSG00000272077","brown"
"ZNF502","brown"
"KIF9-AS1","brown"
"UNKNOWN_ENSG00000260236","brown"
"IP6K2","brown"
"PRKAR2A","brown"
"C3orf62","brown"
"RBM6","brown"
"UNKNOWN_ENSG00000230454","brown"
"HYAL1","brown"
"UNKNOWN_ENSG00000280422","brown"
"PPM1M","brown"
"RPS15P5","brown"
"ERC2-IT1","brown"
"RPP14","brown"
"UNKNOWN_ENSG00000272690","brown"
"CADM2-AS1","brown"
"UNKNOWN_ENSG00000242299","brown"
"PDCL3P4","brown"
"NXPE3","brown"
"UNKNOWN_ENSG00000239455","brown"
"UNKNOWN_ENSG00000272597","brown"
"UNKNOWN_ENSG00000241213","brown"
"MAATS1","brown"
"UNKNOWN_ENSG00000242622","brown"
"UNKNOWN_ENSG00000272758","brown"
"HSPBAP1","brown"
"UNKNOWN_ENSG00000241288","brown"
"MGLL","brown"
"ISY1","brown"
"H1FX-AS1","brown"
"RPL32P3","brown"
"UNKNOWN_ENSG00000250608","brown"
"NPHP3","brown"
"NME9","brown"
"UNKNOWN_ENSG00000233597","brown"
"PAQR9-AS1","brown"
"UNKNOWN_ENSG00000272990","brown"
"UNKNOWN_ENSG00000272440","brown"
"SCARNA7","brown"
"KRT8P12","brown"
"LINC01322","brown"
"KCNMB2","brown"
"B3GNT5","brown"
"ECE2","brown"
"POLR2H","brown"
"TMEM41A","brown"
"LIPH","brown"
"CRYGS","brown"
"P3H2","brown"
"TMEM44","brown"
"MIR570HG","brown"
"MUC20","brown"
"MUC4","brown"
"SLC51A","brown"
"TCTEX1D2","brown"
"UBXN7","brown"
"UNKNOWN_ENSG00000230732","brown"
