"gene","modulecolor"
"WASH7P","magenta"
"HES4","magenta"
"ISG15","magenta"
"C1orf159","magenta"
"SDF4","magenta"
"SCNN1D","magenta"
"UNKNOWN_ENSG00000272455","magenta"
"ATAD3A","magenta"
"FNDC10","magenta"
"MIB2","magenta"
"TNFRSF14","magenta"
"TMEM201","magenta"
"SRM","magenta"
"DISP3","magenta"
"FBXO2","magenta"
"FBXO6","magenta"
"MTHFR","magenta"
"KIAA2013","magenta"
"CASP9","magenta"
"FAM131C","magenta"
"MRTO4","magenta"
"AKR7L","magenta"
"PQLC2","magenta"
"NBL1","magenta"
"LYPLA2","magenta"
"MTFR1L","magenta"
"UBXN11","magenta"
"GPATCH3","magenta"
"TMEM222","magenta"
"MED18","magenta"
"TMEM39B","magenta"
"ZNF362","magenta"
"ZMYM6","magenta"
"KIAA0319L","magenta"
"CITED4","magenta"
"CCDC24","magenta"
"DMAP1","magenta"
"MMACHC","magenta"
"MYBPHL","magenta"
"RBM8A","magenta"
"CRABP2","magenta"
"SNHG28","magenta"
"PHLDA3","magenta"
"RNPEP","magenta"
"UNKNOWN_ENSG00000214796","magenta"
"JMJD4","magenta"
"GUK1","magenta"
"IBA57-DT","magenta"
"UNKNOWN_ENSG00000260077","magenta"
"SLC35F6","magenta"
"EIF2B4","magenta"
"CEBPZOS","magenta"
"UNKNOWN_ENSG00000272702","magenta"
"C2orf81","magenta"
"MOGS","magenta"
"FER1L5","magenta"
"C2orf15","magenta"
"WASH2P","magenta"
"BIN1","magenta"
"UNKNOWN_ENSG00000236682","magenta"
"MZT2B","magenta"
"MZT2A","magenta"
"UNKNOWN_ENSG00000152117","magenta"
"ANKRD30BL","magenta"
"BBS5","magenta"
"RNF25","magenta"
"ZFAND2B","magenta"
"ANKZF1","magenta"
"ILKAP","magenta"
"CAPN10","magenta"
"ANO7","magenta"
"MTMR14","magenta"
"TADA3","magenta"
"ARPC4","magenta"
"IL17RE","magenta"
"CIDECP1","magenta"
"CNOT10","magenta"
"CCDC12","magenta"
"COL7A1","magenta"
"NDUFAF3","magenta"
"TCTA","magenta"
"INKA1","magenta"
"NPRL2","magenta"
"TEX264","magenta"
"SMIM4","magenta"
"EEFSEC","magenta"
"H1FX","magenta"
"H1FX-AS1","magenta"
"NME9","magenta"
"DVL3","magenta"
"SLC51A","magenta"
"GAK","magenta"
"TMEM175","magenta"
"MFSD10","magenta"
"GRK4","magenta"
"SLC9B1","magenta"
"FOSL1P1","magenta"
